# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2706
# Selected columns: 1/622 
# Timestamp: Fri, 18-Mar-2022 17:30:39
Gene ID	Gene Name	uterine cervix, cervical adenocarcinoma, HeLa
ENSG00000000003	TSPAN6	29.0
ENSG00000000005	TNMD	0.1
ENSG00000000419	DPM1	176.0
ENSG00000000457	SCYL3	5.0
ENSG00000000460	C1orf112	13.0
ENSG00000000971	CFH	31.0
ENSG00000001036	FUCA2	240.0
ENSG00000001084	GCLC	20.0
ENSG00000001167	NFYA	30.0
ENSG00000001460	STPG1	3.0
ENSG00000001461	NIPAL3	13.0
ENSG00000001497	LAS1L	116.0
ENSG00000001561	ENPP4	0.1
ENSG00000001617	SEMA3F	193.0
ENSG00000001626	CFTR	0.1
ENSG00000001629	ANKIB1	43.0
ENSG00000001630	CYP51A1	11.0
ENSG00000001631	KRIT1	20.0
ENSG00000002016	RAD52	7.0
ENSG00000002079	MYH16	0.1
ENSG00000002330	BAD	88.0
ENSG00000002549	LAP3	77.0
ENSG00000002586	CD99	169.0
ENSG00000002587	HS3ST1	0.1
ENSG00000002726	AOC1	1.0
ENSG00000002745	WNT16	0.3
ENSG00000002746	HECW1	0.9
ENSG00000002822	MAD1L1	24.0
ENSG00000002834	LASP1	216.0
ENSG00000002919	SNX11	26.0
ENSG00000002933	TMEM176A	0.4
ENSG00000003056	M6PR	138.0
ENSG00000003096	KLHL13	107.0
ENSG00000003137	CYP26B1	6.0
ENSG00000003147	ICA1	1.0
ENSG00000003249	DBNDD1	6.0
ENSG00000003393	ALS2	11.0
ENSG00000003400	CASP10	2.0
ENSG00000003402	CFLAR	7.0
ENSG00000003436	TFPI	33.0
ENSG00000003509	NDUFAF7	14.0
ENSG00000003756	RBM5	31.0
ENSG00000003987	MTMR7	1.0
ENSG00000003989	SLC7A2	69.0
ENSG00000004059	ARF5	194.0
ENSG00000004139	SARM1	2.0
ENSG00000004142	POLDIP2	352.0
ENSG00000004399	PLXND1	77.0
ENSG00000004455	AK2	212.0
ENSG00000004468	CD38	0.1
ENSG00000004478	FKBP4	359.0
ENSG00000004487	KDM1A	130.0
ENSG00000004534	RBM6	45.0
ENSG00000004660	CAMKK1	32.0
ENSG00000004700	RECQL	71.0
ENSG00000004766	VPS50	12.0
ENSG00000004776	HSPB6	0.5
ENSG00000004777	ARHGAP33	6.0
ENSG00000004779	NDUFAB1	200.0
ENSG00000004799	PDK4	137.0
ENSG00000004838	ZMYND10	2.0
ENSG00000004846	ABCB5	0.1
ENSG00000004864	SLC25A13	99.0
ENSG00000004866	ST7	18.0
ENSG00000004897	CDC27	77.0
ENSG00000004939	SLC4A1	0.1
ENSG00000004961	HCCS	149.0
ENSG00000004975	DVL2	39.0
ENSG00000005007	UPF1	70.0
ENSG00000005020	SKAP2	12.0
ENSG00000005022	SLC25A5	1256.0
ENSG00000005059	MCUB	21.0
ENSG00000005073	HOXA11	25.0
ENSG00000005075	POLR2J	115.0
ENSG00000005100	DHX33	74.0
ENSG00000005102	MEOX1	25.0
ENSG00000005108	THSD7A	0.1
ENSG00000005156	LIG3	14.0
ENSG00000005175	RPAP3	36.0
ENSG00000005187	ACSM3	0.1
ENSG00000005189	REXO5	10.0
ENSG00000005194	CIAPIN1	110.0
ENSG00000005206	SPPL2B	17.0
ENSG00000005238	FAM214B	17.0
ENSG00000005243	COPZ2	19.0
ENSG00000005249	PRKAR2B	0.3
ENSG00000005302	MSL3	17.0
ENSG00000005339	CREBBP	36.0
ENSG00000005379	TSPOAP1	0.8
ENSG00000005421	PON1	0.1
ENSG00000005436	GCFC2	12.0
ENSG00000005448	WDR54	32.0
ENSG00000005469	CROT	7.0
ENSG00000005483	KMT2E	31.0
ENSG00000005486	RHBDD2	79.0
ENSG00000005700	IBTK	32.0
ENSG00000005801	ZNF195	18.0
ENSG00000005810	MYCBP2	41.0
ENSG00000005812	FBXL3	38.0
ENSG00000005844	ITGAL	0.1
ENSG00000005882	PDK2	10.0
ENSG00000005884	ITGA3	128.0
ENSG00000005889	ZFX	34.0
ENSG00000005893	LAMP2	111.0
ENSG00000005961	ITGA2B	0.4
ENSG00000005981	ASB4	0.1
ENSG00000006007	GDE1	99.0
ENSG00000006015	REX1BD	22.0
ENSG00000006016	CRLF1	239.0
ENSG00000006025	OSBPL7	18.0
ENSG00000006042	TMEM98	0.2
ENSG00000006047	YBX2	0.2
ENSG00000006062	MAP3K14	21.0
ENSG00000006071	ABCC8	0.2
ENSG00000006116	CACNG3	0.1
ENSG00000006118	TMEM132A	56.0
ENSG00000006125	AP2B1	262.0
ENSG00000006194	ZNF263	23.0
ENSG00000006282	SPATA20	26.0
ENSG00000006283	CACNA1G	0.6
ENSG00000006327	TNFRSF12A	367.0
ENSG00000006377	DLX6	8.0
ENSG00000006432	MAP3K9	5.0
ENSG00000006451	RALA	68.0
ENSG00000006453	BAIAP2L1	37.0
ENSG00000006459	KDM7A	1.0
ENSG00000006468	ETV1	5.0
ENSG00000006530	AGK	17.0
ENSG00000006534	ALDH3B1	61.0
ENSG00000006555	TTC22	0.1
ENSG00000006576	PHTF2	16.0
ENSG00000006607	FARP2	16.0
ENSG00000006611	USH1C	13.0
ENSG00000006625	GGCT	154.0
ENSG00000006634	DBF4	30.0
ENSG00000006638	TBXA2R	38.0
ENSG00000006652	IFRD1	56.0
ENSG00000006695	COX10	35.0
ENSG00000006704	GTF2IRD1	44.0
ENSG00000006712	PAF1	129.0
ENSG00000006715	VPS41	20.0
ENSG00000006740	ARHGAP44	6.0
ENSG00000006744	ELAC2	112.0
ENSG00000006747	SCIN	0.2
ENSG00000006757	PNPLA4	21.0
ENSG00000006831	ADIPOR2	72.0
ENSG00000006837	CDKL3	1.0
ENSG00000007038	PRSS21	285.0
ENSG00000007047	MARK4	12.0
ENSG00000007080	CCDC124	188.0
ENSG00000007168	PAFAH1B1	98.0
ENSG00000007171	NOS2	0.1
